text,size
followbackresistance,4
follower,5
following,3
followyourfire,1
food,2
fool,1
foolish,1
forever,5
forgive,1
foriegnsecretary,3
foulest,26
found,2
fourth,1
fox,1
frankie,4
fraud,1
free,4
freespeech,1
friend,5
frostnhstaterep,1
fu,1
fuck,2
fucking,4
fuct,1
full,1
fully,15
functioning,1
fuse,1
ga,1
gabkmfl,2
gaddafi,1
gain,2
game,2
gaslight,2
gay,1
gazley,2
geezus,1
general,1
generally,1
george,1
get,14
getalife,1
getsafeonline,4
getting,1
gf,1
giddy,1
gina,1
girl,4
girllsssss,1
girlsjustwannahavefun,1
girobillard,1
give,4
giving,1
gloat,4
go,29
gofuckyourself,1
going,14
goldwaterrule,1
gone,3
gonna,2
good,6
goodread,1
goof,1
goony,2
gop,8
gopchairwoman,4
got,3
goudin,1
government,1
govt,3
graf,5
grandiosity,18
grav,2
great,5
greek,1
grip,1
grizzly,1
groper,1
group,2
growing,1
growup,1
gruesomely,1
gtgt,3
gtspeduaubcedubeuaftting,7
gtthe,7
guard,1
guarenteed,1
guess,3
guilt,1
guitar,1
gun,2
guncontrol,1
gunsweedliberty,1
guy,4
h,7
ha,22
hacker,3
hackerinfozone,7
hagen,1
haiku,1
haikudiva,1
haish,2
half,1
hantspolice,1
hantspolplod,1
happen,7
happened,2
happens,2
hard,6
hardworkmy,1
haspel,1
hate,1
hatecrime,1
hatefilled,1
hatespeech,1
hatredfed,1
hav,5
hawking,1
head,3
headline,1
headsoffuk,3
headsup,1
healer,1
healingcptsd,5
healthre,1
heard,2
hearing,2
heart,2
hed,1
heed,1
hell,27
help,7
helped,1
helping,11
herd,1
hereeee,6
hidden,13
hide,1
high,1
hillaryclinton,2
himse,1
hindt,4
hire,1
historical,6
history,22
hit,1
hoarsewisperer,1
hogg,4
holiday,2
hollywood,2
home,1
homeeveryone,1
hometown,35
honesty,5
hope,2
horrible,1
horror,28
horse,5
hospital,4
hotline,2
house,4
hrc,1
htt,2
http,21
httpst,1
httpstcoabtbrjvvz,1
httpstcoadumxcudo,1
httpstcoahtbgcyscc,1
httpstcoassezqr,1
httpstcoatgujrs,1
httpstcoavgogywt,1
httpstcobivthosc,1
httpstcobksies,1
httpstcoblxavzmqyu,1
httpstcobozuiljxin,1
httpstcobqqnsdruqq,3
httpstcobxlmgias,10
httpstcobysqbrhr,1
httpstcobzypdasnm,1
httpstcocaddgz,1
httpstcocbenghic,1
httpstcoccczuccno,1
httpstcoccpuchoei,1
httpstcochegzywfg,1
httpstcochpjrkdab,1
httpstcockvhyfllpq,1
httpstcoclagoev,1
httpstcoclyyxdn,1
httpstcocpvbijso,1
httpstcocqsdaxjrto,1
